Date,Title,Artist,Rank,IsNew
2020-01-11,GATTI,"JACKBOYS, Pop Smoke & Travis Scott",69,True
2020-01-11,High Fashion,Roddy Ricch Featuring Mustard,70,True
2020-01-11,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,71,False
2020-01-11,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,72,False
2020-01-11,Slide,H.E.R. Featuring YG,73,False
2020-01-11,I Hope,Gabby Barrett Featuring Charlie Puth,74,True
2020-01-11,Nice To Meet Ya,Niall Horan,75,False
2020-01-11,Tusa,Karol G & Nicki Minaj,76,False
2020-01-11,We Back,Jason Aldean,77,False
2020-01-11,223's,YNW Melly & 9lokknine,78,False
2020-01-11,Easy,DaniLeigh Featuring Chris Brown,79,False
2020-01-11,Slow Dancing In The Dark,Joji,80,False
2020-01-11,BEST ON EARTH,Russ & BIA,81,False
2020-01-11,Watermelon Sugar,Harry Styles,82,False
2020-01-11,Vete,Bad Bunny,83,False
2020-01-11,Make Me Want To,Jimmie Allen,84,True
2020-01-11,Enemies,Post Malone Featuring DaBaby,85,False
2020-01-11,What She Wants Tonight,Luke Bryan,86,False
2020-01-11,homecoming queen?,Kelsea Ballerini,87,False
2020-01-11,More Hearts Than Mine,Ingrid Andress,88,True
2020-01-11,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,89,False
2020-01-11,I Wish Grandpas Never Died,Riley Green,90,True
2020-01-11,Death,Trippie Redd Featuring DaBaby,91,False
2020-01-11,Yellow Hearts,Ant Saunders,92,False
2020-01-11,Jerry Sprunger,Tory Lanez & T-Pain,93,False
2020-01-11,Let Me Know (I Wonder Why Freestyle),Juice WRLD,94,False
2020-01-11,Loco Contigo,"DJ Snake, J. Balvin & Tyga",95,False
2020-01-11,Candy,Doja Cat,96,False
2020-01-11,Heartless,Diplo Presents Thomas Wesley Featuring Morgan Wallen,97,False
2020-01-11,China,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",98,False
2020-01-11,Slow Dance In A Parking Lot,Jordan Davis,99,True
2020-01-11,July,Noah Cyrus & Leon Bridges,100,True
2020-01-18,The Box,Roddy Ricch,1,False
2020-01-18,Yummy,Justin Bieber,2,True
2020-01-18,Circles,Post Malone,3,False
2020-01-18,Memories,Maroon 5,4,False
2020-01-18,"10,000 Hours",Dan + Shay & Justin Bieber,5,False
2020-01-18,Someone You Loved,Lewis Capaldi,6,False
2020-01-18,Dance Monkey,Tones And I,7,False
2020-01-18,Good As Hell,Lizzo,8,False
2020-01-18,Roxanne,Arizona Zervas,9,False
2020-01-18,Lose You To Love Me,Selena Gomez,10,False
2020-01-18,Ballin',Mustard & Roddy Ricch,11,False
2020-01-18,BOP,DaBaby,12,False
2020-01-18,HIGHEST IN THE ROOM,Travis Scott,13,False
2020-01-18,Don't Start Now,Dua Lipa,14,False
2020-01-18,No Guidance,Chris Brown Featuring Drake,15,False
2020-01-18,Trampoline,SHAED,16,False
2020-01-18,Heartless,The Weeknd,17,False
2020-01-18,Senorita,Shawn Mendes & Camila Cabello,18,False
2020-01-18,Everything I Wanted,Billie Eilish,19,False
2020-01-18,Truth Hurts,Lizzo,20,False
2020-01-18,Hot,Young Thug Featuring Gunna,21,False
2020-01-18,Woah,Lil Baby,22,False
2020-01-18,Panini,Lil Nas X,23,False
2020-01-18,Adore You,Harry Styles,24,False
2020-01-18,Only Human,Jonas Brothers,25,False
2020-01-18,The Bones,Maren Morris,26,False
2020-01-18,One Man Band,Old Dominion,27,False
2020-01-18,Bandit,Juice WRLD & YoungBoy Never Broke Again,28,False
2020-01-18,Hot Girl Bummer,blackbear,29,False
2020-01-18,Futsal Shuffle 2020,Lil Uzi Vert,30,False
2020-01-18,Even Though I'm Leaving,Luke Combs,31,False
2020-01-18,I Don't Care,Ed Sheeran & Justin Bieber,32,False
2020-01-18,Bad Guy,Billie Eilish,33,False
2020-01-18,Sucker,Jonas Brothers,34,False
2020-01-18,High Fashion,Roddy Ricch Featuring Mustard,35,False
2020-01-18,Lover,Taylor Swift,36,False
2020-01-18,On Chill,Wale Featuring Jeremih,37,False
2020-01-18,Falling,Trevor Daniel,38,False
2020-01-18,Blinding Lights,The Weeknd,39,False
2020-01-18,What If I Never Get Over You,Lady Antebellum,40,False
2020-01-18,Suicidal,YNW Melly & Juice WRLD,41,False
2020-01-18,Talk,Khalid,42,False
2020-01-18,Graveyard,Halsey,43,False
2020-01-18,My Oh My,Camila Cabello Featuring DaBaby,44,False
2020-01-18,Beautiful People,Ed Sheeran Featuring Khalid,45,False
2020-01-18,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,46,False
2020-01-18,Ridin' Roads,Dustin Lynch,47,False
2020-01-18,Juicy,Doja Cat & Tyga,48,False
2020-01-18,Playing Games,Summer Walker,49,False
2020-01-18,Suge,DaBaby,50,False
2020-01-18,Heartache Medication,Jon Pardi,51,False
2020-01-18,Out West,JACKBOYS Featuring Young Thug,52,False
2020-01-18,VIBEZ,DaBaby,53,False
2020-01-18,Kinfolks,Sam Hunt,54,False
2020-01-18,Heat,Chris Brown Featuring Gunna,55,False
2020-01-18,Start Wit Me,Roddy Ricch & Gunna,56,False
2020-01-18,Into The Unknown,Idina Menzel & AURORA,57,False
2020-01-18,No Idea,Don Toliver,58,False
2020-01-18,Heart On Ice,Rod Wave,59,False
2020-01-18,U Played,MoneyBagg Yo Featuring Lil Baby,60,True
2020-01-18,South Of The Border,Ed Sheeran Featuring Camila Cabello & Cardi B,61,False
2020-01-18,TOES,DaBaby Featuring Lil Baby & Moneybagg Yo,62,False
2020-01-18,Homesick,Kane Brown,63,False
2020-01-18,Remember You Young,Thomas Rhett,64,False
2020-01-18,I Hope,Gabby Barrett Featuring Charlie Puth,65,False
2020-01-18,Take What You Want,Post Malone Featuring Ozzy Osbourne & Travis Scott,66,False
2020-01-18,Slide,H.E.R. Featuring YG,67,False
2020-01-18,RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,68,False
2020-01-18,BEST ON EARTH,Russ & BIA,69,False
2020-01-18,SUGAR,BrockHampton,70,True
2020-01-18,GANG GANG,JACKBOYS & Sheck Wes,71,False
2020-01-18,Camelot,NLE Choppa,72,False
2020-01-18,Leave Em Alone,"Layton Greene, Lil Baby, City Girls & PnB Rock",73,False
2020-01-18,We Back,Jason Aldean,74,False
2020-01-18,What She Wants Tonight,Luke Bryan,75,False
2020-01-18,HAD ENOUGH,Don Toliver Featuring Quavo & Offset,76,False
2020-01-18,Nice To Meet Ya,Niall Horan,77,False
2020-01-18,Make Me Want To,Jimmie Allen,78,False
2020-01-18,Tip Toe,Roddy Ricch Featuring A Boogie Wit da Hoodie,79,False
2020-01-18,Easy,DaniLeigh Featuring Chris Brown,80,False
2020-01-18,Watermelon Sugar,Harry Styles,81,False
2020-01-18,More Hearts Than Mine,Ingrid Andress,82,False
2020-01-18,I Wish Grandpas Never Died,Riley Green,83,False
2020-01-18,homecoming queen?,Kelsea Ballerini,84,False
2020-01-18,223's,YNW Melly & 9lokknine,85,False
2020-01-18,Peta,Roddy Ricch Featuring Meek Mill,86,False
2020-01-18,Tusa,Karol G & Nicki Minaj,87,False
2020-01-18,Jerry Sprunger,Tory Lanez & T-Pain,88,False
2020-01-18,Enemies,Post Malone Featuring DaBaby,89,False
2020-01-18,All I Want,Olivia Rodrigo,90,True
2020-01-18,July,Noah Cyrus & Leon Bridges,91,False
2020-01-18,Vete,Bad Bunny,92,False
2020-01-18,I Hope You're Happy Now,Carly Pearce & Lee Brice,93,True
2020-01-18,20/20,Lil Tjay,94,True
2020-01-18,Say So,Doja Cat Featuring Nicki Minaj,95,True
2020-01-18,Make No Sense,YoungBoy Never Broke Again,96,False
2020-01-18,Slow Dance In A Parking Lot,Jordan Davis,97,False
2020-01-18,ORANGE SODA,Baby Keem,98,True
2020-01-18,All Dat,Moneybagg Yo X Megan Thee Stallion,99,False
2020-01-18,WHAT TO DO?,JACKBOYS Featuring Don Toliver,100,False
2020-01-25,The Box,Roddy Ricch,1,False
2020-01-25,Life Is Good,Future Featuring Drake,2,True
2020-01-25,Circles,Post Malone,3,False
2020-01-25,Memories,Maroon 5,4,False
2020-01-25,Lose You To Love Me,Selena Gomez,5,False
2020-01-25,Someone You Loved,Lewis Capaldi,6,False
2020-01-25,"10,000 Hours",Dan + Shay & Justin Bieber,7,False
2020-01-25,Dance Monkey,Tones And I,8,False
2020-01-25,Roxanne,Arizona Zervas,9,False
2020-01-25,Yummy,Justin Bieber,10,False
2020-01-25,Good As Hell,Lizzo,11,False
2020-01-25,BOP,DaBaby,12,False
2020-01-25,Ballin',Mustard & Roddy Ricch,13,False
2020-01-25,Don't Start Now,Dua Lipa,14,False
2020-01-25,HIGHEST IN THE ROOM,Travis Scott,15,False
2020-01-25,Sum 2 Prove,Lil Baby,16,True
2020-01-25,Good News,Mac Miller,17,True
2020-01-25,Heartless,The Weeknd,18,False
2020-01-25,No Guidance,Chris Brown Featuring Drake,19,False
2020-01-25,Trampoline,SHAED,20,False
2020-01-25,Woah,Lil Baby,21,False
2020-01-25,Everything I Wanted,Billie Eilish,22,False
2020-01-25,The Bones,Maren Morris,23,False
2020-01-25,Senorita,Shawn Mendes & Camila Cabello,24,False
2020-01-25,Hot Girl Bummer,blackbear,25,False
2020-01-25,Adore You,Harry Styles,26,False
2020-01-25,High Fashion,Roddy Ricch Featuring Mustard,27,False
2020-01-25,Panini,Lil Nas X,28,False
2020-01-25,You Should Be Sad,Halsey,29,True
2020-01-25,Rare,Selena Gomez,30,True
2020-01-25,Hot,Young Thug Featuring Gunna,31,False
2020-01-25,Blinding Lights,The Weeknd,32,False
2020-01-25,Truth Hurts,Lizzo,33,False
2020-01-25,Only Human,Jonas Brothers,34,False
2020-01-25,Bandit,Juice WRLD & YoungBoy Never Broke Again,35,False
2020-01-25,One Man Band,Old Dominion,36,False
2020-01-25,Even Though I'm Leaving,Luke Combs,37,False
2020-01-25,I Don't Care,Ed Sheeran & Justin Bieber,38,False
2020-01-25,Suicidal,YNW Melly & Juice WRLD,39,False
2020-01-25,Bad Guy,Billie Eilish,40,False
2020-01-25,Falling,Trevor Daniel,41,False
2020-01-25,Sucker,Jonas Brothers,42,False
2020-01-25,Futsal Shuffle 2020,Lil Uzi Vert,43,False
2020-01-25,My Oh My,Camila Cabello Featuring DaBaby,44,False
2020-01-25,Juicy,Doja Cat & Tyga,45,False
